individual_id	organ_code	tissue	lib_index
YS-KSCDXGY-3	S	Spleen	YS-KSCDXGY-3-S
YS-LBYKF-1	B	Brain	YS-LBYKF-1-B
YS-LBYKF-1	G	Gill	YS-LBYKF-1-G
YS-LBYKF-1	H	Liver	YS-LBYKF-1-H
YS-LBYKF-1	I	Intestine	YS-LBYKF-1-I
YS-LBYKF-1	K	Kidney	YS-LBYKF-1-K
YS-LBYKF-1	M	Muscles	YS-LBYKF-1-M
YS-LBYKF-1	P	Skin	YS-LBYKF-1-P
YS-LBYKF-1	S	Spleen	YS-LBYKF-1-S
YS-LBYKF-2	B	Brain	YS-LBYKF-2-B
YS-LBYKF-2	G	Gill	YS-LBYKF-2-G
YS-LBYKF-2	H	Liver	YS-LBYKF-2-H
YS-LBYKF-2	I	Intestine	YS-LBYKF-2-I
YS-LBYKF-2	K	Kidney	YS-LBYKF-2-K
YS-LBYKF-2	M	Muscles	YS-LBYKF-2-M
YS-LBYKF-2	P	Skin	YS-LBYKF-2-P
YS-LBYKF-2	S	Spleen	YS-LBYKF-2-S
YS-LBYKF-3	B	Brain	YS-LBYKF-3-B
YS-LBYKF-3	G	Gill	YS-LBYKF-3-G
YS-LBYKF-3	H	Liver	YS-LBYKF-3-H
YS-LBYKF-3	I	Intestine	YS-LBYKF-3-I
YS-LBYKF-3	K	Kidney	YS-LBYKF-3-K
YS-LBYKF-3	M	Muscles	YS-LBYKF-3-M
YS-LBYKF-3	P	Skin	YS-LBYKF-3-P
YS-LBYKF-3	S	Spleen	YS-LBYKF-3-S
YS-LTY-1	B	Brain	YS-LTY-1-B
YS-LTY-1	G	Gill	YS-LTY-1-G
YS-LTY-1	H	Liver	YS-LTY-1-H
YS-LTY-1	I	Intestine	YS-LTY-1-I
YS-LTY-1	K	Kidney	YS-LTY-1-K
YS-LTY-1	M	Muscles	YS-LTY-1-M
YS-LTY-1	P	Skin	YS-LTY-1-P
YS-LTY-1	S	Spleen	YS-LTY-1-S
YS-LTY-2	B	Brain	YS-LTY-2-B
YS-LTY-2	G	Gill	YS-LTY-2-G
YS-LTY-2	H	Liver	YS-LTY-2-H
YS-LTY-2	I	Intestine	YS-LTY-2-I
YS-LTY-2	K	Kidney	YS-LTY-2-K
YS-LTY-2	M	Muscles	YS-LTY-2-M
YS-LTY-2	P	Skin	YS-LTY-2-P
